# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 1508 6652 3096 2386
p 2 0 4254 3906 20269 5568
p 2 0 2086 6074 4669 2949
p 2 0 1883 6277 3843 2711
p 2 0 4258 3902 22715 5939
p 2 0 2198 5962 4819 3063
p 2 0 1484 6676 2963 2338
p 2 0 4081 4079 23212 5819
p 2 0 2243 5917 4986 3135
p 2 0 1861 6299 4100 2739
p 2 0 4114 4046 20925 5605
p 2 0 2695 5465 7361 3639
p 2 0 2182 5978 5455 3100
p 2 134 3845 4181 24906 6064
p 2 0 2061 6099 4404 2938
p 2 0 3763 4397 19304 5241
p 2 605 3036 4519 21614 6847
p 2 0 4391 3769 20900 5922
p 2 0 2428 5732 4849 3267
p 2 351 4822 2987 38343 8778
p 2 0 4038 4122 9389 5090
p 2 0 4994 3166 24110 6709
p 2 384 3992 3784 25267 7535
p 2 0 4409 3751 20329 6069
p 2 0 2780 5380 5398 3647
p 2 97 4499 3564 33323 7344
p 2 0 3072 5088 6444 4093
p 2 0 1849 6311 3781 2761
p 2 64 2772 5324 14514 4511
p 2 0 1753 6407 3702 2732
p 2 0 1831 6329 3139 2680
p 2 5 6017 2138 37482 8847
p 2 0 3341 4819 6601 4235
p 2 1 6235 1924 35111 8793
p 2 0 3554 4606 6476 4335
p 2 2 5940 2218 35182 8533
p 2 0 3282 4878 6560 4157
